asset,n_obs,stl_period,trend_strength,seasonal_strength,seasonal_amplitude,residual_std,trend_std,residual_share_of_variance
gold,3666,5,0.9972890269171913,0.0,0.0772099786773717,0.010109999436400539,0.1938919328221341,0.002710838903857199
nasdaq,3666,5,0.9996021774851381,0.0,0.06866842732037198,0.013692325192351395,0.6860478366384585,0.00039782446933745645
oil,3666,5,0.998621929137604,0.3940869857187904,1.7136002927981022,0.02633219541156275,0.7074458977656847,0.0013762219464391499
palladium,3666,5,0.9976081882741037,0.0,0.08649892960681078,0.022964218813039287,0.46779963529326163,0.002391832319021129
platinum,3666,5,0.9964740195924094,0.0,0.07857142391062857,0.015935104290700934,0.2677342897131641,0.0035262106175565455
silver,3666,5,0.9946623932609555,0.0,0.07984685169743128,0.01978569986436954,0.2696731099679886,0.005337811951687455
sp500,3666,5,0.9992989502487232,0.0,0.11509010498314934,0.011980908377680951,0.45222100302001417,0.0007010687530907888
