theoretical_quantile,sample_quantile,reference_line
-2.0878610089402754,-0.031656558681605634,-0.026377451051005713
-2.0812924474239853,-0.031500896824150484,-0.02629446092849749
-2.0748124765253504,-0.030914867702466466,-0.026212590099185203
-2.068418473405169,-0.030621281821180547,-0.026131805424953893
-2.062107932226936,-0.030615071104271904,-0.026052075245952606
-2.055878457238726,-0.03042542508691956,-0.02597336929318786
-2.0497277563614293,-0.03040431950273708,-0.02589565860751454
-2.0436536352393593,-0.030280062024384866,-0.02581891546446865
-2.0376539917136816,-0.03015573385955488,-0.025743113304442157
-2.031726810682989,-0.030137962993551842,-0.025668226667749226
-2.0258701593188326,-0.03008799985901929,-0.025594231134177088
-2.020082182607099,-0.030064547198249962,-0.025521103266653848
-2.0143610991888767,-0.02995769952371383,-0.02544882055870013
-2.0087051974769192,-0.029947153403283033,-0.025377361385362746
-2.0031128320260105,-0.029844367789286414,-0.025306704957356298
-1.9975824201374976,-0.029765320463847306,-0.025236831278163317
-1.992112438680051,-0.029586337791708002,-0.025167721103866343
-1.9867014211102676,-0.02939311266598724,-0.025099355905504904
-1.981347954678197,-0.02937765077986769,-0.025031717833768896
-1.97605067780413,-0.029347831774827554,-0.024964789685855762
-1.97080827761418,-0.029346735808090697,-0.02489855487433392
-1.9656194876232072,-0.029339025468519492,-0.024832997397867825
-1.9604830855546198,-0.02923235672291891,-0.024768101813672352
-1.9553978912874264,-0.02905468517475195,-0.02470385321157494
-1.950362764921697,-0.028998083247963713,-0.024640237189573783
-1.9453766049543093,-0.02868210238135426,-0.024577239830789386
-1.940438346557497,-0.02868028409803106,-0.024514847681714986
-1.9355469599532946,-0.02865870187110888,-0.024453047731678574
-1.9307014488775298,-0.028640293409639705,-0.024391827393436268
-1.925900849127483,-0.028593602835483692,-0.02433117448482282
-1.921144227187781,-0.02827046197979893,-0.02427107721139055
-1.9164306789295158,-0.028169714385228747,-0.024211524149973417
-1.9117593283779344,-0.028001798831192963,-0.02415250423311747
-1.9071293265443883,-0.027977971497648225,-0.024094006734323197
-1.9025398503185613,-0.027907599537324655,-0.024036021254049415
-1.8979901014172569,-0.027779583677023618,-0.023978537706431796
-1.893479305386312,-0.027697241894240852,-0.023921546306672606
-1.8890067106524306,-0.027690192038939156,-0.023865037559061136
-1.8845715876219655,-0.027630144787674983,-0.023809002245587324
-1.8801732278238732,-0.027585937125487334,-0.023753431415113456
-1.875810943094263,-0.027472664565816162,-0.023698316373071408
-1.87148406480013,-0.027067365156773583,-0.023643648671654936
-1.8671919431000272,-0.026792653449983585,-0.02358942010047868
-1.8629339462395866,-0.026744806981374956,-0.023535622677677476
-1.8587094598799165,-0.0264878023721396,-0.023482248641421
-1.8545178864570588,-0.02643439278751713,-0.023429290441820908
-1.8503586445707836,-0.026415785074345565,-0.023376740733208563
-1.846231168401118,-0.02640461572722974,-0.02332459236676321
-1.8421349071511166,-0.02626644824197465,-0.023272838383471706
-1.8380693245144506,-0.02600257785588906,-0.023221472007401777
-1.8340338981665083,-0.025996342244096537,-0.02317048663927238
-1.8300281192777628,-0.025985816236193223,-0.02311987585030536
-1.826051492048244,-0.025878766659530053,-0.02306963337634377
-1.8221035332620223,-0.025820278408182844,-0.02301975311222302
-1.8181837718606786,-0.02580459255353085,-0.022970229106381895
-1.814291748534789,-0.025701569520193875,-0.022921055555701217
-1.8104270153325284,-0.025631517061296155,-0.022872226800558743
-1.8065891352845163,-0.02562831015350363,-0.022823737320089313
-1.802777682044122,-0.025581249048647118,-0.02277558172764031
-1.7989922395424471,-0.025562896815596883,-0.022727754766412537
-1.7952324016572938,-0.02554663782723807,-0.022680251305277843
-1.791497771895413,-0.025459372445305037,-0.02263306633476448
-1.7877879630874214,-0.025376018895683923,-0.02258619496320257
-1.7841025970947735,-0.025285695863373408,-0.022539632413021836
-1.780441304528212,-0.02523541926984881,-0.022493374017194402
-1.7768037244771757,-0.02519208071058044,-0.022447415215816002
-1.773189504249642,-0.02512726625901846,-0.022401751552819035
-1.7695982991219297,-0.025110401582077564,-0.02235637867281146
-1.7660297720979998,-0.025054789499095117,-0.022311292318035702
-1.7624835936778362,-0.02499691106878763,-0.022266488325442264
-1.7589594416344818,-0.024946816638684907,-0.022221962623872712
-1.755457000799351,-0.02481349977917348,-0.0221777112313472
-1.751975962855455,-0.02477390616088647,-0.02213373025245201
-1.7485160261381805,-0.024701113073359707,-0.022090015875822485
-1.7450768954433031,-0.024659653040708506,-0.022046564371717387
-1.7416582818419142,-0.024575105974970125,-0.022003372089680607
-1.7382599025019658,-0.024569194572584878,-0.021960435456286478
-1.7348814805161505,-0.024500531015545075,-0.02191775097296514
-1.7315227447358492,-0.02431482231939325,-0.021875315213904546
-1.7281834296108844,-0.024295279797315054,-0.021833124824025864
-1.724863275034846,-0.02420078510158792,-0.02179117651702922
-1.7215620261957518,-0.02417777864795327,-0.021749467073506903
-1.7182794334318192,-0.02415226044346925,-0.021707993339121108
-1.7150152520921507,-0.024138906659784912,-0.021666752222843772
-1.7117692424021174,-0.024063610427507067,-0.02162574069525578
-1.708541169333265,-0.024061254376550736,-0.021584955786903295
-1.7053308024775524,-0.023937152630693303,-0.021544394586708825
-1.702137915925753,-0.023895564497128534,-0.021504054240434906
-1.698962288149851,-0.023889557852493783,-0.021463931949198226
-1.6958037018892813,-0.02369623405631602,-0.021424024968032356
-1.6926619440408563,-0.023651388267408202,-0.021384330604496998
-1.6895368055522448,-0.02364038412222211,-0.021344846217332195
-1.6864280813188517,-0.023580442105946932,-0.021305569215155425
-1.683335570083985,-0.023575191650164307,-0.021266497055200284
-1.6802590743421764,-0.023570505131343678,-0.021227627242095006
-1.6771984002455327,-0.02343364196840713,-0.021188957326679237
-1.674153357513014,-0.02327431324755574,-0.021150484904857842
-1.6711237593425177,-0.023168377341829475,-0.021112207616490117
-1.668109422325679,-0.023152668215015947,-0.02107412314431335
-1.665110166365269,-0.02314343133749524,-0.0210362292128992
