date,target,sp500_ret_l1,gold_ret_l1,oil_ret_l1,eur_usd_ret_l1,usd_chf_ret_l1,gdp_growth_l1,cpi_inflation_l1,rate_change_l1
2010-05-03,0.0139664962154936,-0.0171072724632164,0.0094060961740666,0.0070414276611268,0.0044452889174020445,-0.005279990034906994,0.0,0.0,0.0
2010-05-04,-0.0305025680973801,0.0128785857588848,0.0032022183233475,0.0031404784839927,-0.008986279086396503,0.009336790730521452,0.0,0.0,0.0
2010-05-05,-0.0051754592284124,-0.023795632363459,-0.0074588377026736,-0.0433779193144888,-0.0111366520951911,0.010890064154642564,0.0,0.0,0.0
2010-05-06,-0.0339874401924394,-0.0059742432534585,0.0019133768230867,-0.0356402289805871,-0.011339651729545836,0.011852660812533746,0.0,0.0,0.0
2010-05-07,-0.0252242118844261,-0.0337775843674726,0.0290803791553823,-0.0358774175704401,-0.015716340536318537,-0.002341288777746041,0.0,0.0,0.0
2010-05-10,0.0506654822920107,-0.0149868995975433,-0.0018246638727565,-0.0177403557158729,0.00251869475929634,-0.00063128468525676,0.0,0.0,0.0
2010-05-11,-0.0010472301721552,0.0430987464293387,-0.0059362453833757,0.0250217024583809,0.010945305109875953,-0.0014444346647879004,0.0,0.0,0.0
2010-05-12,0.0186843716582618,-0.0028449521322312,0.0259096205806414,-0.0127045903971392,-0.011417077409866706,-0.0009038323102638997,0.0,0.0,0.0
2010-05-13,-0.0159638509890139,0.013889112160667,0.0061473571651066,0.0002719978256945,-0.00575779482397606,0.0037906182572871455,0.0,0.0,0.0
2010-05-14,-0.019413988092637,-0.012508730611137,-0.0069433243071578,-0.0175587501536317,-0.005870703096787062,0.004045494796834421,0.0,0.0,0.0
2010-05-17,0.0031911525857495,-0.018270910207525,-0.0015772219265965,-0.0372188433362013,-0.014264205312268803,0.014075956234881747,0.0,0.0,0.0
2010-05-18,-0.0139024803602456,0.0005266854054336,-0.0084261959361927,-0.0270798320394938,-0.007371737380777667,0.007754709287393561,0.0,0.0,0.0
2010-05-19,-0.0080009076392911,-0.0136958182321025,0.0010885494062117,-0.0121753545606185,0.004785668378514428,-0.004398705077783548,0.0,0.0,0.0
2010-05-20,-0.0378321856369506,-0.0057102225108843,-0.024226155158704,0.0011943865259837,-0.0033232046794406046,0.019384174562263334,0.0,0.0,0.0
2010-05-21,0.0109878894483706,-0.0384908435671743,-0.0067966020655522,-0.0398774491988563,0.004293764445049402,-0.0055497887848954,0.0,0.0,0.0
2010-05-24,-0.0040223517919474,0.0144936762854753,-0.0053665843331691,0.0021715535135079,0.01643652958140639,-0.001305199228142645,0.0,0.0,0.0
2010-05-25,0.0008952552075114,-0.0129141173043285,0.0139621332153031,-0.0031036648129355,-0.01353048943487724,0.006595528552122809,0.0,0.0,0.0
2010-05-26,-0.0112487125358706,0.0010207396608437,0.0044406563151859,-0.0099969592327626,-0.010289740372550071,0.0027641029950798363,0.0,0.0,0.0
2010-05-27,0.037086519525428,-0.0060468112986169,0.0094136301319413,0.0229681108312979,-0.004489253754211045,0.0007760293556080593,0.0,0.0,0.0
2010-05-28,-0.0059035920887401,0.0329493395778555,0.0018552881017461,0.051431364020888,0.011872953980231941,-0.008830461674668218,0.0,0.0,0.0
2010-06-01,-0.0092532054804832,-0.0126290689556266,0.0016079407095319,-0.0079299307999936,-8.084401152386106e-05,0.0029521598240165887,0.0,0.0,0.0
2010-06-02,0.023406952918577,-0.0169667509446995,0.0086184686133959,-0.0255596413080663,-0.008362135189080872,0.0012130666074677654,0.0,-0.000938790042303271,-0.020000000000000018
2010-06-03,0.0094685450244113,0.0257059963697796,-0.0010847345550254,0.0182176159639001,-0.004903573081488793,0.0023353381716090115,0.0,0.0,0.0
2010-06-04,-0.0348140734206283,0.0034382950991607,-0.0153111428892408,0.0138135921697751,-0.0010656175441753689,-0.0030283388923442863,0.0,0.0,0.0
2010-06-07,-0.0184086888181675,-0.0357689949597511,0.0103732745475418,-0.0472152229041717,-0.016122047347226436,0.0063920058699046154,0.0,0.0,0.0
2010-06-08,-0.0018087276014011,-0.0125290132179068,0.0191130963720334,-0.0027577771423318,-0.003255836244230934,-8.61066862374216e-05,0.0,0.0,0.0
2010-06-09,-0.008408184975328,0.0106549497008977,-0.0040207483263235,0.0182431328824129,0.0030057633049875953,-0.008908937529829412,0.0,0.0,0.0
2010-06-10,0.0281265025352363,-0.0053604303839235,-0.003663652222087,0.0226402282728221,0.004159739775176712,-0.004789906828332471,0.0,0.0,0.0
2010-06-11,0.0094954892543478,0.0288124019852614,-0.0132341673110659,0.0238660920150648,0.0054644944720789665,-0.0032352583633914445,0.0,0.0,0.0
2010-06-14,-0.0002198043749919,0.004843952258106,0.0086616856361758,-0.0156524934776762,-0.0028113132456753153,0.00898039951384903,0.0,0.0,0.0
2010-06-15,0.0264657529321038,-0.0015511659663912,-0.0034222311268187,0.0029171549275067,0.016424775905464654,-0.012489790727460903,0.0,0.0,0.0
2010-06-16,0.004059400938217,0.0224830020074267,0.011555056036855,0.0258783848835455,0.004064385370679435,-0.005994376200426471,0.0,0.0,0.0
2010-06-17,0.0031931905791549,-0.0003572066478418,-0.0054699291033152,0.0073529743052589,-0.00032454361339624666,-0.0038091909460002396,0.0,0.0,0.0
2010-06-18,-0.00106326432133,0.0016064260482737,0.0129630680371547,-0.009910883899454,0.0034024660173934164,-0.01160520077106589,0.0,0.0,0.0
2010-06-21,-0.0085470605784584,-0.0036628441362798,0.007600249063777,0.007654183364861,-0.0004044489438348097,-0.002697358225980008,0.0,0.0,0.0
2010-06-22,-0.0077553167674781,-0.0028681564880214,-0.0200648126040679,-0.0022618047527584,0.002020610911778074,-0.00243385886584515,0.0,0.0,0.0
2010-06-23,-0.0041174616628062,-0.0166534756539232,0.0087661825012464,-0.0093843998816401,-0.006642927863291028,-0.002982783428999733,0.0,0.0,0.0
2010-06-24,-0.0153175861401701,-0.00310786356185,-0.0041254183921452,-0.0219535102158722,0.000568805118330468,0.0005429864386801809,0.0,0.0,0.0
2010-06-25,-0.0017656151132783,-0.0167093663781385,0.0028895788939681,0.0043712731706335,-0.001788763791045926,-0.00045246822182733724,0.0,0.0,0.0
2010-06-28,-0.0035406100275627,0.0041804139100243,0.011964413801531,0.0362637879908195,0.0035743336185876467,-0.010097879753902327,0.0,0.0,0.0
2010-06-29,-0.0393359935730297,-0.0031569199849027,-0.0136971589852605,-0.012699479268033,-0.0012982799616500598,-0.00706522184729915,0.0,0.0,0.0
2010-06-30,-0.0153348729938996,-0.0313617843980989,0.0014853939024254,-0.0299820670397606,-0.010529420220888795,-0.004614682854672625,0.0,0.0,0.0
2010-07-01,-0.0028136009182529,-0.0095454612837549,0.003375183282337,-0.0061647046840539,0.008497477391478558,-0.0033358073927749945,0.0,0.0,0.0
2010-07-02,-0.0028215396099424,-0.0044664604788981,-0.0388788912391685,-0.0326229737670186,0.013977201895548685,-0.009231265143653765,0.010717523193792058,0.0018675086613587765,0.0
2010-07-06,0.0030563089501449,-0.0054644944720787,0.0123128121167796,-0.008248099303466,0.009025259936626095,-0.0037541104624877865,0.0,0.0,0.0
2010-07-07,0.0314258762600957,0.0065343773733346,-0.0168514625967987,0.0003067014285656,0.0054712105714028085,-0.004523615290957755,0.0,0.0,0.0
2010-07-08,0.0054446595482317,0.0310102367425602,0.0104167608582555,0.031394066289509,-0.004120449569870416,-0.003975019430504771,0.0,0.0,0.0
2010-07-09,0.0094573999207339,0.0098467527909089,-0.0044266693550165,0.017089396451357,0.0070420040187415085,-0.004086098715070319,0.0,0.0,0.0
2010-07-12,0.002909255716478,0.0074377434733958,0.0097636297969199,0.0032084029272357,-0.0034752424203033146,0.007116117130248351,0.0,0.0,0.0
2010-07-13,0.0128776202318934,0.0006481781790897,-0.0086551240342949,-0.0164419440896755,-0.00523561405394494,0.004151340993486621,0.0,0.0,0.0
2010-07-14,0.0050610736262234,0.0149757036470087,0.0086551240342951,0.0280228494333049,0.011545280858303274,-0.009174810161356312,0.0,0.0,0.0
2010-07-15,0.0008775779413589,-9.119511200517016e-05,-0.0005070565476678,-0.0023054765254989,0.0028264131244273632,0.0030360554630314385,0.0,0.0,0.0
2010-07-16,-0.0280205123321749,0.0002735603901618,-0.000591891109319,-0.0023108040323155,0.010761176834925596,-0.012871417630787294,0.0,0.0,0.0
2010-07-19,0.0085336246586782,-0.0279208300816029,-0.0132824430392563,-0.0122201113347753,0.002014567549463791,0.009645302298325099,0.0,0.0,0.0
