lag,ljung_box_stat,ljung_box_pvalue,skewness,kurtosis
5,10.64847145706059,0.058812839883307225,,
10,73.40025273902447,9.73629254340469e-12,,
20,94.67641984145325,1.115586030302617e-11,,
jarque_bera,4837.288712591441,0.0,-0.5934346881105134,8.765084739300818
