parameter,coefficient,std_error,z_score,p_value,ci_lower,ci_upper
intercept,0.0005825313708540645,0.00023510229178786853,2.477778359471201,0.013220324076011678,0.00012173934626701533,0.0010433233954411137
sp500_ret_l1,-0.0015252662941693327,0.000132992705146333,-11.468796671900684,1.8927287868535446e-30,-0.0017859272064627,-0.0012646053818759653
gold_ret_l1,0.0003538278633101215,0.0001852631368519342,1.9098665245688213,0.05615040118333078,-9.281212582584817e-06,0.0007169369392028278
oil_ret_l1,-2.7988954645565165e-05,0.00029399903635210083,-0.09520083804643792,0.924155304347187,-0.0006042164773851649,0.0005482385680940346
eur_usd_ret_l1,0.00034470816560254366,0.00025430589957465703,1.3554863106954664,0.17526266715695682,-0.000153722238619844,0.0008431385698249314
usd_chf_ret_l1,0.000327534372084121,0.0002461245862258556,1.3307665727614872,0.1832658300772646,-0.000154860952628379,0.000809929696796621
gdp_growth_l1,6.734599201838835e-05,0.00032675391712341285,0.20610615049781392,0.8367079945139668,-0.0005730799173508865,0.0007077719013876632
cpi_inflation_l1,0.00022126843808943482,0.0002588269029739882,0.854889640709691,0.39261224608577105,-0.00028602296996962505,0.0007285598461484946
rate_change_l1,-0.0002802744460937106,0.0002006330839572955,-1.3969502963597302,0.16242851821569826,-0.0006735080647572106,0.0001129591725697895
sigma2,0.00016978167217753591,2.2938034555654062e-06,74.01753265546718,0.0,0.0001652859000170142,0.00017427744433805764
