date,actual,fitted,residual
2010-05-03,0.0139664962154936,0.002731272244612137,0.011235223970881465
2010-05-04,-0.0305025680973801,-0.0011249173175124122,-0.02937765077986769
2010-05-05,-0.0051754592284124,0.0035083974685471437,-0.008683856696959544
2010-05-06,-0.0339874401924394,0.0014282918183640804,-0.03541573201080348
2010-05-07,-0.0252242118844261,0.00520121320249346,-0.03042542508691956
2010-05-10,0.0506654822920107,0.0027541769636017744,0.047911305328408926
2010-05-11,-0.0010472301721552,-0.004912028850283132,0.003864798678127932
2010-05-12,0.0186843716582618,0.001169844412129069,0.01751452724613273
2010-05-13,-0.0159638509890139,-0.0012411054197112325,-0.014722745569302668
2010-05-14,-0.019413988092637,0.0019350150905568326,-0.02134900318319383
2010-05-17,0.0031911525857495,0.00292391714686317,0.00026723543888633027
2010-05-18,-0.0139024803602456,0.0001939289415499617,-0.014096409301795563
2010-05-19,-0.0080009076392911,0.0026249837807539667,-0.010625891420045067
2010-05-20,-0.0378321856369506,0.0013393759986151954,-0.039171561635565795
2010-05-21,0.0109878894483706,0.005676158671747847,0.005311730776622753
2010-05-24,-0.0040223517919474,-0.0005805258041466361,-0.0034418259878007643
2010-05-25,0.0008952552075114,0.002377880420266952,-0.0014826252127555521
2010-05-26,-0.0112487125358706,0.0001276009825410669,-0.011376313518411667
2010-05-27,0.037086519525428,0.00152696081770258,0.03555955870772542
2010-05-28,-0.0059035920887401,-0.0035824348729478718,-0.0023211572157922286
2010-06-01,-0.0092532054804832,0.0025696031803695858,-0.011822808660852786
2010-06-02,0.023406952918577,0.0027001768268377488,0.02070677609173925
2010-06-03,0.0094685450244113,-0.0031613611918883166,0.012629906216299617
2010-06-04,-0.0348140734206283,-0.0006457049995268786,-0.034168368421101415
2010-06-07,-0.0184086888181675,0.005242699449240705,-0.023651388267408202
2010-06-08,-0.0018087276014011,0.002819414420121051,-0.00462814202152215
2010-06-09,-0.008408184975328,-0.0012822236542847363,-0.007125961321043263
2010-06-10,0.0281265025352363,0.001223304142036963,0.026903198393199337
2010-06-11,0.0094954892543478,-0.0036576842953309147,0.013153173549678716
2010-06-14,-0.0002198043749919,0.0005687542679860373,-0.0007885586429779374
2010-06-15,0.0264657529321038,0.0011037511923795568,0.025362001739724242
2010-06-16,0.004059400938217,-0.0021291134053322384,0.0061885143435492385
2010-06-17,0.0031931905791549,0.0002424840491246051,0.002950706530030295
2010-06-18,-0.00106326432133,0.000476950215764661,-0.0015402145370946609
2010-06-21,-0.0085470605784584,0.001222824691223375,-0.009769885269681774
2010-06-22,-0.0077553167674781,0.00029080787794080916,-0.00804612464541891
2010-06-23,-0.0041174616628062,0.0026456824647516286,-0.0067631441275578285
2010-06-24,-0.0153175861401701,0.0009761372276395257,-0.016293723367809626
2010-06-25,-0.0017656151132783,0.0028790424826244674,-0.004644657595902767
2010-06-28,-0.0035406100275627,0.00014800002620546794,-0.003688610053768168
2010-06-29,-0.0393359935730297,0.0001082383583296269,-0.039444231931359326
2010-06-30,-0.0153348729938996,0.004082342887797403,-0.019417215881697
2010-07-01,-0.0028136009182529,0.0024282852485099735,-0.005241886166762874
2010-07-02,-0.0028215396099424,0.0009351554003093579,-0.0037566950102517578
2010-07-06,0.0030563089501449,0.0022029650107611154,0.0008533439393837846
2010-07-07,0.0314258762600957,-0.0007763735540732171,0.032202249814168915
2010-07-08,0.0054446595482317,-0.003767480824807062,0.009212140373038762
2010-07-09,0.0094573999207339,-0.0006695961323410892,0.01012699605307499
2010-07-12,0.002909255716478,9.819803260948832e-05,0.002811057683868512
2010-07-13,0.0128776202318934,0.00010911728506249677,0.012768502946830903
2010-07-14,0.0050610736262234,-0.0008886499474102191,0.0059497235736336185
2010-07-15,0.0008775779413589,0.0009566937954700379,-7.911585411113798e-05
2010-07-16,-0.0280205123321749,0.000573090503308794,-0.028593602835483692
2010-07-19,0.0085336246586782,0.004627295634724777,0.0039063290239534235
2010-07-20,0.0120028113585474,-0.0002606022547078467,0.012263413613255248
2010-07-21,-0.0137933221323357,-0.0011255614355649907,-0.012667760696770709
