epoch,train_loss,validation_loss,train_rmse,validation_rmse
1,1.0195210880289476,1.1113596111536026,1.0097133692434441,1.0542104207195082
2,0.9820492677390575,1.1153923124074936,0.9909839896481969,1.0561213530686204
3,0.9826972347994646,1.1079544425010681,0.9913108668825661,1.052594148996216
4,0.9773050546646118,1.1189734786748886,0.9885874036546348,1.0578154275084517
5,0.9839873351156712,1.1100298315286636,0.9919613576726016,1.0535795326071324
6,0.9802926052361727,1.1064603328704834,0.9900972705932345,1.0518841822512988
7,0.9788339082151651,1.1109836101531982,0.9893603530641225,1.0540320726397268
8,0.9819564272960027,1.1021220833063126,0.990937145986567,1.0498200242452573
9,0.9805305190384388,1.1006778627634048,0.9902174099855238,1.049131956792569
10,0.9791483655571938,1.1087859869003296,0.9895192598212497,1.0529890725455462
11,0.9719702191650867,1.1354644894599915,0.985885500027811,1.0655817610394762
12,0.9647337980568409,1.1167755424976349,0.9822086326523713,1.056776013400018
13,0.9727668153742949,1.1324826031923294,0.9862894176530005,1.0641816589249833
14,0.9554101824760437,1.1391398906707764,0.9774508593663641,1.0673049661042415
15,0.948718079055349,1.1389994621276855,0.9740216009182492,1.0672391775640948
16,0.9249337439735731,1.175483524799347,0.9617347575987742,1.0841971798521461
17,0.9119051968057951,1.1721295565366745,0.9549372737545618,1.0826493229742835
