date,mean_residual,conditional_volatility,conditional_variance,standardized_residual,squared_standardized_residual
2010-05-03,0.0112352239708814,0.021525263322048006,0.00046333696108350516,0.521955239422011,0.2724372719600889
2010-05-04,-0.0293776507798676,0.02047319866993599,0.0004191518637786688,-1.4349321399888242,2.0590302463729064
2010-05-05,-0.0086838566969595,0.021795536182091246,0.00047504539746484863,-0.39842363245437257,0.15874139089813696
2010-05-06,-0.0354157320108034,0.02056159704424137,0.0004227792730097554,-1.7224212659454965,2.966735017381287
2010-05-07,-0.0304254250869195,0.02298100195494964,0.0005281264508533992,-1.323938144497067,1.7528122104543367
2010-05-10,0.0479113053284089,0.02402487249684601,0.0005771944984897079,1.994237652445344,3.976983814430717
2010-05-11,0.0038647986781279,0.028186249710965797,0.0007944646727689195,0.13711645634872485,0.018800922601631766
2010-05-12,0.0175145272461327,0.026287327657902204,0.0006910235953939102,0.6662726418623871,0.44391923329428473
2010-05-13,-0.0147227455693026,0.02527669113839943,0.0006389111149060403,-0.5824633251516192,0.33926352514668096
2010-05-14,-0.0213490031831938,0.024132926096149206,0.0005823981219621994,-0.8846421315896863,0.7825917009835438
2010-05-17,0.0002672354388863,0.023750547398918288,0.0005640885017482643,0.01125175914465328,0.00012660208384928872
2010-05-18,-0.0140964093017955,0.0221379882829137,0.0004900905252144242,-0.6367520445692546,0.405453166263126
2010-05-19,-0.010625891420045,0.021248975752689723,0.0004515189705383958,-0.5000660522990131,0.25006605666191933
2010-05-20,-0.0391715616355657,0.02018021305896302,0.0004072409991051416,-1.9410876149381233,3.767821128866172
2010-05-21,0.0053117307766227,0.023462022423069242,0.0005504664961806039,0.22639696957240538,0.051255587831568646
2010-05-24,-0.0034418259878007,0.021952554495119722,0.0004819146488612011,-0.15678475999528224,0.024581460966778254
2010-05-25,-0.0014826252127555,0.020508511656378747,0.00042059905035982294,-0.0722931647891845,0.005226301675236186
2010-05-26,-0.0113763135184116,0.01914140102358156,0.00036639323314556916,-0.5943302428279084,0.35322843753988054
2010-05-27,0.0355595587077254,0.018324952366417988,0.0003358038792314882,1.940499380117968,3.765537844238218
2010-05-28,-0.0023211572157922,0.021314001092322066,0.00045428664256350624,-0.10890293219644948,0.011859848640984471
2010-06-01,-0.0118228086608527,0.019897364007287907,0.0003959050944385163,-0.5941896955055102,0.3530613942449309
2010-06-02,0.0207067760917392,0.0190426704329092,0.00036262329721639425,1.0873882507546906,1.182413207879346
2010-06-03,0.0126299062162996,0.01925523659254,0.0003707641362346915,0.6559205936318002,0.4302318251502932
2010-06-04,-0.0341683684211014,0.018531653669588085,0.00034342218772955756,-1.8437841020725747,3.3995398150555705
2010-06-07,-0.0236513882674082,0.021177444628600824,0.0004484841609974539,-1.1168197429951598,1.247286338343775
2010-06-08,-0.0046281420215221,0.02148534219610227,0.00046161992928361276,-0.21540927667243331,0.046401156476540924
2010-06-09,-0.0071259613210432,0.020106901858776415,0.00040428750235846643,-0.3544037450967517,0.12560201453860337
2010-06-10,0.0269031983931993,0.018934175122750495,0.0003585029875789837,1.4208804037559348,2.0189011217776285
2010-06-11,0.0131531735496787,0.020121326782752375,0.00040486779149830803,0.6536931531251386,0.42731473844268597
2010-06-14,-0.0007885586429779,0.019354811364835956,0.0003746087229683831,-0.04074225411519961,0.0016599312703874998
2010-06-15,0.0253620017397242,0.018068156745129876,0.00032645828816658224,1.4036850630355706,1.9703317561891738
2010-06-16,0.0061885143435492,0.019154601968551708,0.00036689877657364496,0.32308237747302654,0.1043822226336232
2010-06-17,0.0029507065300302,0.018016859130406373,0.0003246072129249075,0.16377474612377935,0.02682216746790838
2010-06-18,-0.0015402145370946,0.01686093928612906,0.00028429127361053033,-0.09134808630511372,0.008344472871606504
2010-06-21,-0.0097698852696817,0.01576868129846683,0.00024865130989261755,-0.6195752888119829,0.383873538506452
2010-06-22,-0.0080461246454189,0.015157275190629054,0.00022974299120445902,-0.5308424201728155,0.28179367505493197
2010-06-23,-0.0067631441275578,0.014473640251955607,0.00020948626214302955,-0.46727319525880834,0.21834423900737643
2010-06-24,-0.0162937233678096,0.013768065221392171,0.00018955961994050866,-1.183443214845698,1.4005378427643207
2010-06-25,-0.0046446575959027,0.014156207576452301,0.00020039821294760553,-0.32810041607674006,0.10764988302972996
2010-06-28,-0.0036886100537681,0.013364974780813695,0.00017862255089178607,-0.2759907979073289,0.07617092052952405
2010-06-29,-0.0394442319313593,0.012601276625075587,0.00015879217258167637,-3.130177449867918,9.79801086766162
2010-06-30,-0.019417215881697,0.018399835254188285,0.00033855393738127005,-1.0552929204774881,1.113643148009906
2010-07-01,-0.0052418861667628,0.01853006771903922,0.0003433634096721794,-0.28288542957546137,0.08002416626609331
2010-07-02,-0.0037566950102517,0.01740379972893653,0.00030289224500493125,-0.21585487472632825,0.046593326943118865
2010-07-06,0.0008533439393837,0.016316269283980764,0.00026622064334737414,0.05230018728739106,0.0027353095902961813
2010-07-07,0.0322022498141689,0.015258740331544077,0.00023282915650548985,2.1104133837049353,4.453844650120915
2010-07-08,0.0092121403730387,0.018337851332752442,0.00033627679150213054,0.5023565850697729,0.25236213856296397
2010-07-09,0.0101269960530749,0.017438350368170062,0.00030409606356305696,0.5807313099729629,0.33724885438291347
2010-07-12,0.0028110576838685,0.016689878356311524,0.0002785520395484758,0.16842888988495577,0.028368290947878558
2010-07-13,0.0127685029468309,0.015633260353757415,0.0002443988292883634,0.8167524021156611,0.6670844863617026
2010-07-14,0.0059497235736336,0.015319834209647968,0.0002346973202111002,0.38836736039131836,0.15082920661732016
2010-07-15,-7.911585411113798e-05,0.014492091195599006,0.00021002070722155822,-0.0054592434620590906,2.9803339178034924e-05
2010-07-16,-0.0285936028354836,0.01357138987566542,0.00018418262315731386,-2.1069030583782875,4.439040497403782
2010-07-19,0.0039063290239534,0.016316836104418298,0.0002662391404584485,0.23940480856430482,0.05731466236371144
