date,mean_residual,segment
2010-05-03,0.0112352239708814,train
2010-05-04,-0.0293776507798676,train
2010-05-05,-0.0086838566969595,train
2010-05-06,-0.0354157320108034,train
2010-05-07,-0.0304254250869195,train
2010-05-10,0.0479113053284089,train
2010-05-11,0.0038647986781279,train
2010-05-12,0.0175145272461327,train
2010-05-13,-0.0147227455693026,train
2010-05-14,-0.0213490031831938,train
2010-05-17,0.0002672354388863,train
2010-05-18,-0.0140964093017955,train
2010-05-19,-0.010625891420045,train
2010-05-20,-0.0391715616355657,train
2010-05-21,0.0053117307766227,train
2010-05-24,-0.0034418259878007,train
2010-05-25,-0.0014826252127555,train
2010-05-26,-0.0113763135184116,train
2010-05-27,0.0355595587077254,train
2010-05-28,-0.0023211572157922,train
2010-06-01,-0.0118228086608527,train
2010-06-02,0.0207067760917392,train
2010-06-03,0.0126299062162996,train
2010-06-04,-0.0341683684211014,train
2010-06-07,-0.0236513882674082,train
2010-06-08,-0.0046281420215221,train
2010-06-09,-0.0071259613210432,train
2010-06-10,0.0269031983931993,train
2010-06-11,0.0131531735496787,train
2010-06-14,-0.0007885586429779,train
2010-06-15,0.0253620017397242,train
2010-06-16,0.0061885143435492,train
2010-06-17,0.0029507065300302,train
2010-06-18,-0.0015402145370946,train
2010-06-21,-0.0097698852696817,train
2010-06-22,-0.0080461246454189,train
2010-06-23,-0.0067631441275578,train
2010-06-24,-0.0162937233678096,train
2010-06-25,-0.0046446575959027,train
2010-06-28,-0.0036886100537681,train
2010-06-29,-0.0394442319313593,train
2010-06-30,-0.019417215881697,train
2010-07-01,-0.0052418861667628,train
2010-07-02,-0.0037566950102517,train
2010-07-06,0.0008533439393837,train
2010-07-07,0.0322022498141689,train
2010-07-08,0.0092121403730387,train
2010-07-09,0.0101269960530749,train
2010-07-12,0.0028110576838685,train
2010-07-13,0.0127685029468309,train
2010-07-14,0.0059497235736336,train
2010-07-15,-7.911585411113798e-05,train
2010-07-16,-0.0285936028354836,train
2010-07-19,0.0039063290239534,train
2010-07-20,0.0122634136132552,train
2010-07-21,-0.0126677606967707,train
2010-07-22,0.0230571779375055,train
2010-07-23,0.0086086007715763,train
2010-07-26,0.008533973554131,train
2010-07-27,0.0002569856492652,train
2010-07-28,-0.0087237558879991,train
2010-07-29,-0.0088659318439639,train
2010-07-30,0.0012578948133521,train
2010-08-02,0.0175687463136198,train
