theoretical_quantile_t,sample_quantile,reference_line
-2.8405402643024784,-2.5901094830636673,-2.2833524394700393
-2.825447953956983,-2.5834289366885503,-2.2712381365730754
-2.8106686668637395,-2.557558919784879,-2.2593750913301593
-2.7961899107963704,-2.5543674983719256,-2.247753276475039
-2.781999915850269,-2.5315595465628444,-2.2363632445350476
-2.768087580252036,-2.525362155383315,-2.2251960843333953
-2.7544424211317335,-2.49780626075376,-2.214243381475019
-2.7410545297242486,-2.497674622321027,-2.2034971823875917
-2.727914530531664,-2.493087309187782,-2.192949961541955
-2.7150135440350978,-2.4901897361601897,-2.182594591521639
-2.7023431525934156,-2.4510828443966366,-2.1724243156504275
-2.6898953692085654,-2.4465317401690285,-2.162432722920897
-2.677662608874153,-2.439475240733415,-2.1526137249964825
-2.665637662255923,-2.432838659336196,-2.1429615350853113
-2.6538136714808296,-2.421023565803538,-2.1334706485065618
-2.6421841078358654,-2.4138904434445334,-2.1241358247897497
-2.630742751199317,-2.3999001779066647,-2.1149520711645997
-2.6194836710459546,-2.381643060297742,-2.1059146273142795
-2.6084012088843167,-2.37696162842734,-2.097018951278152
-2.597489961998882,-2.3755555551795933,-2.088260706401935
-2.586744768382898,-2.3695679215198386,-2.0796357492435766
-2.576160692759079,-2.368368622348854,-2.0711401183523406
-2.5657330135955987,-2.3657876176857386,-2.0627700238467988
-2.5554572110338083,-2.3600741598027164,-2.054521837724647
-2.5453289556521987,-2.334451762830278,-2.046392084843754
-2.535344097998265,-2.330377165250314,-2.0383774345195955
-2.52549865882637,-2.3200460650114363,-2.0304746926893786
-2.5157888199854206,-2.296047343641494,-2.0226807945977536
-2.506210915905308,-2.2912734788413522,-2.014992797963151
-2.496761425635667,-2.282790583645848,-2.0074078765874446
-2.4874369653946737,-2.2707126519246437,-1.9999233143750195
-2.478234281589259,-2.2571707562874894,-1.9925364997302324
-2.469150244271564,-2.2552231275168326,-1.9852449203050369
-2.4601818409993887,-2.2542999189578796,-1.978046158070885
-2.4513261710712078,-2.2509588557698037,-1.970937884691287
-2.4425804401087197,-2.2473154310995795,-1.9639178571733293
-2.433941954962201,-2.2444411433466818,-1.9569839137783018
-2.4254081189159122,-2.2408948193213916,-1.9501339701731717
-2.4169764271726826,-2.239510139200295,-1.9433660158061454
-2.4086444625984518,-2.232749418297912,-1.9366781104908979
-2.4004098917090597,-2.23234881809373,-1.930068381185246
-2.392270460883008,-2.2302834317106766,-1.9235350189512057
-2.3842239927851137,-2.2257249853489345,-1.9170762760843296
-2.3762683829871936,-2.2207952255528607,-1.9106904634011956
-2.368401596772906,-2.2183830715815858,-1.9043759476747164
-2.360621666114913,-2.2106601021152583,-1.8981311492077653
-2.3529266868133414,-2.209503247584647,-1.8919545395362758
