parameter,estimate,std_error,t_stat,p_value,ci_lower,ci_upper
omega,0.02732824943252761,0.00729623777981195,3.7455261543342897,0.00018001609059698084,0.013027886161455704,0.041628612703599514
alpha[1],0.12766765825675533,0.016163625576853566,7.898454319529424,2.8238323151366555e-15,0.0959875342665319,0.15934778224697876
beta[1],0.8639576616134588,0.015556918454178732,55.53526967169978,0.0,0.8334666617328419,0.8944486614940756
nu,5.890720467345483,0.5803443606869958,10.150388056450156,3.3004841560780145e-24,4.753266421768048,7.028174512922918
