test,lag,statistic,p_value,extra_1,extra_2
ljung_box_standardized_residual,5.0,20.293929229234223,0.001100531693162407,,
ljung_box_standardized_residual,10.0,28.829307073321356,0.001327826325787786,,
ljung_box_standardized_residual,20.0,35.95330772382794,0.015576594230011346,,
ljung_box_squared_standardized_residual,5.0,1.3156324077883494,0.9333149246995223,,
ljung_box_squared_standardized_residual,10.0,7.959308599831465,0.6328117410687654,,
ljung_box_squared_standardized_residual,20.0,23.84328763858323,0.24930474383516898,,
arch_lm,10.0,7.982480738517587,0.6305482708593585,0.7975251698080879,0.6312516211562973
jarque_bera_standardized_residual,,561.0485726525774,1.4785990017147418e-122,-0.5750268894938411,4.642202413294639
