model,fold_id,date,actual,forecast,forecast_error,predicted_direction,actual_direction,direction_correct,position,previous_position,turnover,gross_return,transaction_cost,net_return,cumulative_gross,cumulative_net
phase3_sarimax,1,2019-05-17,-0.0102726669053521,0.00010639709793191534,-0.010379064003284016,1.0,-1.0,False,1.0,0.0,1.0,-0.0102726669053521,0.0005,-0.0107726669053521,0.9897273330946479,0.9892273330946479
phase3_sarimax,1,2019-05-20,-0.0170256736663933,0.0006061289124756914,-0.01763180257886899,1.0,-1.0,False,1.0,1.0,0.0,-0.0170256736663933,0.0,-0.0170256736663933,0.9728765585026686,0.9723850713395019
phase3_sarimax,1,2019-05-21,0.0103931501062637,0.0008212084349383161,0.009571941671325383,1.0,1.0,True,1.0,1.0,0.0,0.0103931501062637,0.0,0.0103931501062637,0.9829878106100521,0.9824912153470233
phase3_sarimax,1,2019-05-22,-0.0044646622322786,0.0003155080455986329,-0.004780170277877234,1.0,-1.0,False,1.0,1.0,0.0,-0.0044646622322786,0.0,-0.0044646622322786,0.9785991020572312,0.978104723924318
phase3_sarimax,1,2019-05-23,-0.0154204631046194,0.0005765792984286551,-0.015997042403048056,1.0,-1.0,False,1.0,1.0,0.0,-0.0154204631046194,0.0,-0.0154204631046194,0.963508650709744,0.9630218961165891
phase3_sarimax,1,2019-05-24,-0.000505036345293,0.0009905823563923874,-0.0014956187016853875,1.0,-1.0,False,1.0,1.0,0.0,-0.000505036345293,0.0,-0.000505036345293,0.9630220438221314,0.9625355350577373
phase3_sarimax,1,2019-05-28,-0.0037677536488569,0.0007629282933821963,-0.004530681942239097,1.0,-1.0,False,1.0,1.0,0.0,-0.0037677536488569,0.0,-0.0037677536488569,0.9593936140025909,0.958908938283369
phase3_sarimax,1,2019-05-29,-0.0082598342423743,0.0008592362055170034,-0.009119070447891304,1.0,-1.0,False,1.0,1.0,0.0,-0.0082598342423743,0.0,-0.0082598342423743,0.9514691817777371,0.9509885093996172
phase3_sarimax,1,2019-05-30,0.0041950174899108,0.0005444303407860965,0.0036505871491247033,1.0,1.0,True,1.0,1.0,0.0,0.0041950174899108,0.0,0.0041950174899108,0.9554606116364058,0.9549779228292528
phase3_sarimax,1,2019-05-31,-0.0160815509498407,0.0006409409780265736,-0.01672249192786727,1.0,-1.0,False,1.0,1.0,0.0,-0.0160815509498407,0.0,-0.0160815509498407,0.940095323129809,0.9396203967073011
phase3_sarimax,1,2019-06-03,-0.0222638312125181,0.0011136319374049335,-0.023377463149923033,1.0,-1.0,False,1.0,1.0,0.0,-0.0222638312125181,0.0,-0.0222638312125181,0.9191651995319693,0.9187008467911705
phase3_sarimax,1,2019-06-04,0.0277674855335389,0.001278680732125231,0.02648880480141367,1.0,1.0,True,1.0,1.0,0.0,0.0277674855335389,0.0,0.0277674855335389,0.9446881059129055,0.9442108592640942
phase3_sarimax,1,2019-06-05,0.0074049096616675,0.00015846621787771122,0.007246443443789789,1.0,1.0,True,1.0,1.0,0.0,0.0074049096616675,0.0,0.0074049096616675,0.9516834359956424,0.9512026553785102
phase3_sarimax,1,2019-06-06,0.0079136696985961,0.00033759307234613697,0.007576076626249963,1.0,1.0,True,1.0,1.0,0.0,0.0079136696985961,0.0,0.0079136696985961,0.9592147443657371,0.9587301590096033
phase3_sarimax,1,2019-06-07,0.0191278660460463,0.000874805293850443,0.018253060752195856,1.0,1.0,True,1.0,1.0,0.0,0.0191278660460463,0.0,0.0191278660460463,0.9775624755053575,0.9770686210654437
phase3_sarimax,1,2019-06-10,0.0115874878995415,0.0007089781367426981,0.010878509762798803,1.0,1.0,True,1.0,1.0,0.0,0.0115874878995415,0.0,0.0115874878995415,0.9888899688613216,0.9883903918890612
phase3_sarimax,1,2019-06-11,0.001364070597541,0.00023584019795019006,0.00112823039959081,1.0,1.0,True,1.0,1.0,0.0,0.001364070597541,0.0,0.001364070597541,0.9902388845920487,0.9897386261615292
phase3_sarimax,1,2019-06-12,-0.0057964836656077,0.000729361825148517,-0.006525845490756217,1.0,-1.0,False,1.0,1.0,0.0,-0.0057964836656077,0.0,-0.0057964836656077,0.9844989810724613,0.9840016223817629
phase3_sarimax,1,2019-06-13,0.0059055289740412,0.0006869764541514123,0.005218552519889788,1.0,1.0,True,1.0,1.0,0.0,0.0059055289740412,0.0,0.0059055289740412,0.9903129683300987,0.989812672473242
phase3_sarimax,1,2019-06-14,-0.004261602909258,0.0005235201849362637,-0.004785123094194264,1.0,-1.0,False,1.0,1.0,0.0,-0.004261602909258,0.0,-0.004261602909258,0.9860926477031873,0.9855944839086096
phase3_sarimax,1,2019-06-17,0.0060047126217804,0.0004306723994744599,0.005574040222305941,1.0,1.0,True,1.0,1.0,0.0,0.0060047126217804,0.0,0.0060047126217804,0.9920138506710954,0.9915126955460928
phase3_sarimax,1,2019-06-18,0.0144268340378336,0.0006853228260742784,0.013741511211759322,1.0,1.0,True,1.0,1.0,0.0,0.0144268340378336,0.0,0.0144268340378336,1.0063254698579593,1.0058170846511412
phase3_sarimax,1,2019-06-19,0.0037481303249868,0.0003734170954454202,0.00337471322954138,1.0,1.0,True,1.0,1.0,0.0,0.0037481303249868,0.0,0.0037481303249868,1.0100973088683407,1.009587018167512
phase3_sarimax,1,2019-06-20,0.0092563699523249,0.0007776072057536706,0.00847876274657123,1.0,1.0,True,1.0,1.0,0.0,0.0092563699523249,0.0,0.0092563699523249,1.019447143247074,1.018932129106735
phase3_sarimax,1,2019-06-21,-0.0014837584196345,0.001182620336389496,-0.002666378756023996,1.0,-1.0,False,1.0,1.0,0.0,-0.0014837584196345,0.0,-0.0014837584196345,1.0179345299649087,1.0174202799811367
phase3_sarimax,1,2019-06-24,-0.0021766260285691,0.001210713135101214,-0.003387339163670314,1.0,-1.0,False,1.0,1.0,0.0,-0.0021766260285691,0.0,-0.0021766260285691,1.015718867171608,1.0152057365177358
phase3_sarimax,1,2019-06-25,-0.0173152896134768,0.0012636755456689398,-0.01857896515914574,1.0,-1.0,False,1.0,1.0,0.0,-0.0173152896134768,0.0,-0.0173152896134768,0.998131400820659,0.9976271551726682
phase3_sarimax,1,2019-06-26,0.0046396285212939,0.0009443021848731327,0.0036953263364207676,1.0,1.0,True,1.0,1.0,0.0,0.0046396285212939,0.0,0.0046396285212939,1.0027623597359057,1.0022557745754246
phase3_sarimax,1,2019-06-27,0.003814235465791,0.0006621675658865482,0.003152067899904452,1.0,1.0,True,1.0,1.0,0.0,0.003814235465791,0.0,0.003814235465791,1.0065871314921706,1.006078614096604
phase3_sarimax,1,2019-06-28,0.0012860359719095,0.0004315406236661049,0.0008544953482433951,1.0,1.0,True,1.0,1.0,0.0,0.0012860359719095,0.0,0.0012860359719095,1.0078816387521308,1.0073724673849012
phase3_sarimax,1,2019-07-01,0.0134044560243068,0.0004934827610180034,0.012910973263288796,1.0,1.0,True,1.0,1.0,0.0,0.0134044560243068,0.0,0.0134044560243068,1.02139174385649,1.0208757473240595
phase3_sarimax,1,2019-07-02,0.0039549712743539,-0.0002473620775284268,0.004202333351882326,-1.0,1.0,False,-1.0,1.0,2.0,-0.0039549712743539,0.001,-0.0049549712743539,1.0173521688496754,1.0158173373213844
phase3_sarimax,1,2019-07-03,0.0074977412456772,0.0008422695590919928,0.006655471686585208,1.0,1.0,True,1.0,-1.0,2.0,0.0074977412456772,0.001,0.0064977412456772,1.0249800121674386,1.0224178555321715
phase3_sarimax,1,2019-07-05,-0.0020392697072088,0.0003256281247894829,-0.002364897831998283,1.0,-1.0,False,1.0,1.0,0.0,-0.0020392697072088,0.0,-0.0020392697072088,1.0228898014781311,1.0203328697712752
phase3_sarimax,1,2019-07-08,-0.0070385835284549,0.00025287620960237514,-0.007291459738057275,1.0,-1.0,False,1.0,1.0,0.0,-0.0070385835284549,0.0,-0.0070385835284549,1.0156901061700228,1.0131511716405621
phase3_sarimax,1,2019-07-09,0.004995146700978,0.0006470424532338916,0.004348104247744108,1.0,1.0,True,1.0,1.0,0.0,0.004995146700978,0.0,0.004995146700978,1.0207636272530738,1.0182120103731744
