Model,Macro F1,Balanced Acc,Kappa
Dummy (most_freq),0.10894472361809045,0.2,0.0
Dummy (stratified),0.21021746802996163,0.2132771463371657,0.009232423712864701
Baseline RF,0.23125036831069115,0.25572743030323297,0.08875620097577486
Best strategy (SMOTE),0.2891730051833467,0.319389578636114,0.15781379770950033
GridSearchCV Tuned,0.22445490552906328,0.26284878994485306,0.057912685203505565
